ArticleTitle,ArticleAuthor,ArticleDate,JournalTitle,JournalVolume,JournalIssue,JournalPages,DOI,Notes
A genomic test of sex-biased dispersal in white sharks.,"Laso-Jadart, R. & Corrigan, S.L. & Yang, L. & Lee, S.-H. & Gay, E.J. & Fedrigo, O. & Lowe, C.G. & Sk",2025,A genomic test of sex-biased dispersal in white sharks. Proceedings of the National Academy of Sciences of the United States of America,122.0,32.0,,10.1073/pnas.2507931122,Shark research literature review - Priority 1 batch
A global review of ornamental fish and shellfish research.,"Peh, J.H. & Azra, M.N. (2025)",2025,A global review of ornamental fish and shellfish research. Aquaculture,,,,10.1016/j.aquaculture.2024.741719,Shark research literature review - Priority 1 batch
"A global review of white shark (Carcharodon carcharias) parturition (vol 34, pg 869, 2024).","O'Connell, C.P. & Dodd, J.F. & Crews, J. & Gressle, J. & Racicot, B. & Sitzer, S. & Lis, T. & Skomal",2025,"A global review of white shark (Carcharodon carcharias) parturition (vol 34, pg 869",35.0,2.0,,10.1007/s11160-025-09939-6,Shark research literature review - Priority 1 batch
A global survey on total arsenic concentrations in sharks.,"Maciel, O.L.D. & Lima, V.F.M. & Silva, G.N. & Godoy, J.M.D. & Machado, W. & Hauser-Davis, R.A. (2025",2025,A global survey on total arsenic concentrations in sharks. Environmental Monitoring and Assessment,197.0,4.0,,10.1007/s10661-025-13867-0,Shark research literature review - Priority 1 batch
A grey nurse shark from the Northern Territory of Australia shares a mitochondrial haplotype only recorded from the western Australian population.,"Krause, S. & Stow, A. (2025)",2025,A grey nurse shark from the Northern Territory of Australia shares a mitochondrial haplotype only recorded from the western Australian population. Marine and Freshwater Research,76.0,4.0,,10.1071/mf24162,Shark research literature review - Priority 1 batch
A hydrodynamic antenna: novel lateral line system in the tail of myliobatid stingrays.,"Chaumel, J. & Lauder, G.V. (2025)",2025,A hydrodynamic antenna: novel lateral line system in the tail of myliobatid stingrays. Proceedings of the Royal Society B-Biological Sciences,292.0,2039.0,,10.1098/rspb.2024.2192,Shark research literature review - Priority 1 batch
A juvenile spinner shark in southern New England: A rare visitor or a sign of change?,"Moyer, J.K. & Dodd, J.F. & Kajiura, S.M. (2025)",2025,A juvenile spinner shark in southern New England: A rare visitor or a sign of change? Journal of Fish Biology,107.0,1.0,,10.1111/jfb.16047,Shark research literature review - Priority 1 batch
"A large lamniform shark from the Aptian of Villa de Leiva (Boyaca, Colombia), based on the first Lower Cretaceous shark specimen preserving both teeth and vertebrae.","Benavides-Cabra, C.D. & Páramo-Fonseca, M.E. & Narváz-Rincón, J.A. & Pomar, D.E. (2025)",2025,"A large lamniform shark from the Aptian of Villa de Leiva (Boyaca, Colombia), based on the first Lower Cretaceous shark specimen preserving both teeth and vertebrae. Cretaceous Research",,,,10.1016/j.cretres.2025.106211,Shark research literature review - Priority 1 batch
A megafauna in distress: Unsustainable exploitation of tiger sharks in the Arabian Sea and implications for conservation.,"Gurugubelli, M. & Abisha, C. & Arundhathy, T.A. & Ranjeet, K. & Dahanukar, N. & Raghavan, R. (2025)",2025,A megafauna in distress: Unsustainable exploitation of tiger sharks in the Arabian Sea and implications for conservation. Biological Conservation,,,,10.1016/j.biocon.2025.111049,Shark research literature review - Priority 1 batch
A molecular-assisted taxonomic assessment of elasmobranch fishes (Chondrichthyes: Elasmobranchii) from south-eastern Arabia revisited.,"Henderson, A.C. & Reeve, A.J. & Jabado, R.W. & Naylor, G.J.P. (2025)",2025,A molecular-assisted taxonomic assessment of elasmobranch fishes (Chondrichthyes: Elasmobranchii) from south-eastern Arabia revisited. Zootaxa,5575.0,3.0,,10.11646/zootaxa.5575.3.5,Shark research literature review - Priority 1 batch
