openalex_author_id,last_institution_id,last_institution_name,last_institution_country,last_institution_city,last_institution_region,last_institution_lat,last_institution_lon,last_institution_type
https://openalex.org/A5000389720,https://openalex.org/I1314665148,Universidade Federal do Oeste do Pará,BR,Santarém,,-2.4430599212646484,-54.70832824707031,education
https://openalex.org/A5000392724,https://openalex.org/I79817857,University of Guelph,CA,Guelph,,43.54594039916992,-80.25598907470703,education
https://openalex.org/A5000396223,https://openalex.org/I129902397,Dalhousie University,CA,Halifax,Nova Scotia,44.64269,-63.57688,education
https://openalex.org/A5000396696,https://openalex.org/I154570441,"University of California, Santa Barbara",US,Santa Barbara,California,34.42083,-119.69819,education
https://openalex.org/A5000398944,https://openalex.org/I183067930,Shanghai Jiao Tong University,CN,Shanghai,,31.22221946716309,121.45806121826172,education
https://openalex.org/A5000409756,I2699952,Pontifícia Universidade Católica do Rio de Janeiro,BR,Rio de Janeiro,Rio de Janeiro,-22.90642,-43.18223,education
https://openalex.org/A5000413124,https://openalex.org/I88386943,Baewha Women's University,KR,Seoul,,37.5796127319336,126.96533966064452,education
https://openalex.org/A5000425396,https://openalex.org/I4210143841,Saudi Aramco (Saudi Arabia),SA,Dhahran,,26.34372901916504,50.12286376953125,company
https://openalex.org/A5000425403,,Laboratório Nacional de Computação Científica,BR,Petrópolis,Rio de Janeiro,-22.5298089,-43.217433,
https://openalex.org/A5000426794,https://openalex.org/I8961855,Universidad Nacional Autónoma de México,MX,Mexico City,Mexico City,19.42847,-99.12766,education
https://openalex.org/A5000426900,https://openalex.org/I181343428,University of Zagreb,HR,Zagreb,Zagreb,45.81444,15.97798,education
https://openalex.org/A5000429355,https://openalex.org/I71395657,Niigata University,JP,Niigata,,37.88637161254883,139.00588989257812,education
https://openalex.org/A5000438867,https://openalex.org/I4210116810,RIKEN Center for Biosystems Dynamics Research,JP,Kobe,,34.69129943847656,135.18299865722656,facility
https://openalex.org/A5000439201,,,,,,,,
https://openalex.org/A5000447327,https://openalex.org/I4210086410,Universidad Bernardo O'Higgins,CL,Santiago,,-33.456939697265625,-70.64826965332031,education
https://openalex.org/A5000449640,https://openalex.org/I157773358,Sun Yat-sen University,CN,Guangzhou,Guangdong,23.11667,113.25,education
https://openalex.org/A5000456449,I165143802,The University of Queensland,AU,Brisbane,Queensland,-27.46794,153.02809,education
https://openalex.org/A5000456598,https://openalex.org/I114027177,University of North Carolina at Chapel Hill,US,Chapel Hill,North Carolina,35.9132,-79.05584,education
https://openalex.org/A5000457069,https://openalex.org/I4210106307,"Czech Academy of Sciences, Institute of Inorganic Chemistry",CZ,Řež,Central Bohemia,50.17734,14.35733,facility
https://openalex.org/A5000457533,https://openalex.org/I4210120379,Marine Research Centre,MV,Malé,Kaafu Atoll,4.17521,73.50916,government
https://openalex.org/A5000465038,https://openalex.org/I25112270,Universidade Federal de Pernambuco,BR,Recife,,-8.053890228271484,-34.88111114501953,education
https://openalex.org/A5000467214,,,,,,,,
https://openalex.org/A5000476928,https://openalex.org/I2800423888,Instituto Butantan,BR,São Paulo,,-23.54750061035156,-46.6361083984375,facility
https://openalex.org/A5000482843,https://openalex.org/I4210091775,Instituto Español de Oceanografía,ES,Madrid,,40.416500091552734,-3.702559947967529,government
https://openalex.org/A5000491743,https://openalex.org/I86501945,University of Delaware,US,Newark,Delaware,39.68372,-75.74966,education
https://openalex.org/A5000492239,https://openalex.org/I13897259,Universidad Andrés Bello,CL,Santiago,,-33.456939697265625,-70.64826965332031,education
https://openalex.org/A5000494971,https://openalex.org/I4921948,Pusan National University,KR,Busan,Busan,35.10168,129.03004,education
https://openalex.org/A5000499762,https://openalex.org/I84884186,Newcastle University,GB,Newcastle upon Tyne,England,54.97328,-1.61396,education
https://openalex.org/A5000500725,I4210117518,Dagestan State University,RU,Makhachkala,Dagestan,42.97782,47.50027,education
https://openalex.org/A5000501845,https://openalex.org/I3089745140,Yale-NUS College,SG,Singapore,,1.2896699905395508,103.85006713867188,education
https://openalex.org/A5000504017,I433269,Royal Society for the Conservation of Nature,JO,Al Jubayhah,,32.02739334106445,35.8622932434082,nonprofit
https://openalex.org/A5000506272,https://openalex.org/I19894307,Université de Montpellier,FR,Montpellier,Occitanie,43.61093,3.87635,education
https://openalex.org/A5000510793,https://openalex.org/I4210147714,North Carolina Aquarium,US,Raleigh,North Carolina,35.81838607788086,-78.60479736328125,archive
https://openalex.org/A5000514076,,,,,,,,
https://openalex.org/A5000514811,https://openalex.org/I115752224,University of Insubria,IT,Varese,,45.820579528808594,8.82511043548584,education
https://openalex.org/A5000525965,https://openalex.org/I4210120615,Institute of Zoology,KZ,Almaty,,43.25,76.91667175292969,facility
https://openalex.org/A5000525984,https://openalex.org/I201448701,University of Washington,US,Seattle,Washington,47.60621,-122.33207,education
https://openalex.org/A5000526448,,University of Eswatini,SZ,Inkhundla Ludzeludze,Manzini,-26.4791491,31.3062386,
https://openalex.org/A5000527062,I165143802,The University of Queensland,AU,Brisbane,Queensland,-27.46794,153.02809,education
https://openalex.org/A5000542392,https://openalex.org/I4210106186,Peter the Great's Museum of Anthropology and Ethnography,RU,Saint Petersburg,,59.941497802734375,30.304542541503903,archive
https://openalex.org/A5000543399,https://openalex.org/I4210156794,Seattle Aquarium,US,Seattle,Washington,47.607608795166016,-122.3422393798828,archive
https://openalex.org/A5000547013,https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,FR,Paris,Île-de-France,48.85341,2.3488,government
https://openalex.org/A5000557685,,,,,,,,
https://openalex.org/A5000567713,https://openalex.org/I4210125082,Wildlife Conservation Society United Kingdom,GB,Cambridge,,52.20365905761719,0.1203510016202926,nonprofit
https://openalex.org/A5000572097,https://openalex.org/I112862951,University of Messina,IT,Messina,,38.193939208984375,15.552559852600098,education
https://openalex.org/A5000574162,https://openalex.org/I1298590031,Shizuoka University,JP,Shizuoka,,34.964168548583984,138.43194580078125,education
https://openalex.org/A5000575209,https://openalex.org/I4210157513,Écologie Marine Tropicale des Océans Pacifique et Indien,RE,Saint-Denis,Réunion,-20.88231,55.4504,facility
https://openalex.org/A5000579122,https://openalex.org/I165932596,National University of Singapore,SG,Singapore,,1.28967,103.85007,education
https://openalex.org/A5000582813,https://openalex.org/I151201029,Consejo Nacional de Investigaciones Científicas y Técnicas,AR,Buenos Aires,Buenos Aires F.D.,-34.61315,-58.37723,government
