institution_id,display_name,country_code,type,city,region,latitude,longitude
https://openalex.org/I104914703,Université du Québec à Chicoutimi,CA,education,Saguenay,,48.416751861572266,-71.06572723388672
https://openalex.org/I104917982,Junagadh Agricultural University,IN,education,Jūnāgadh,,21.50642967224121,70.44894409179688
https://openalex.org/I104946051,Nihon University,JP,education,Tokyo,,35.691001892089844,139.73760986328125
https://openalex.org/I105036370,AstraZeneca (United Kingdom),GB,company,Cambridge,England,52.2,0.11667
https://openalex.org/I105086349,North Sichuan Medical University,CN,education,Nanchong,,30.79558753967285,106.07916259765624
https://openalex.org/I105126617,Zhejiang International Studies University,CN,education,Hangzhou,,30.27831268310547,120.14214324951172
https://openalex.org/I105140100,Madrid Institute for Advanced Studies,ES,education,Madrid,Madrid,40.4165,-3.70256
https://openalex.org/I105296287,Kurume University,JP,education,Kurume,,33.31666946411133,130.51666259765625
https://openalex.org/I105333472,University of the Philippines Cebu,PH,education,Cebu City,,10.322930335998535,123.89854431152344
https://openalex.org/I10535382,Chongqing University of Posts and Telecommunications,CN,education,Chongqing,,29.56026077270508,106.55770874023438
https://openalex.org/I105818395,University of Kashan,IR,education,Kāshān,,34.002281188964844,51.43878936767578
https://openalex.org/I105991555,Jingdezhen Ceramic Institute,CN,education,Jingdezhen,,29.294700622558597,117.20789337158205
https://openalex.org/I106053113,Central University of Karnataka,IN,education,Kalaburagi,,17.335830688476562,76.83757019042969
https://openalex.org/I106073371,University of Findlay,US,education,Findlay,Ohio,41.05454635620117,-83.65452575683594
https://openalex.org/I106079672,Hebei University of Engineering,CN,education,Handan,,36.609989166259766,114.48764038085938
https://openalex.org/I106107269,Claremont McKenna College,US,education,Claremont,,34.0966796875,-117.71977996826172
https://openalex.org/I106110158,Bay Area Air Quality Management District,US,government,San Francisco,California,37.788047790527344,-122.39156341552734
https://openalex.org/I106118109,Eötvös Loránd University,HU,education,Budapest,Budapest,47.49835,19.04045
https://openalex.org/I106165777,University of Central Florida,US,education,Orlando,Florida,28.53834,-81.37924
https://openalex.org/I10627620,Kogi State University,NG,education,Dekina,Kogi State,7.68967,7.0438
https://openalex.org/I106296451,University of Foggia,IT,education,Foggia,,41.45845031738281,15.5518798828125
https://openalex.org/I106437751,Centro Tecnolóxico de Telecomunicacións de Galicia,ES,nonprofit,Vigo,,42.232818603515625,-8.722640037536621
https://openalex.org/I106460735,Philadelphia College of Osteopathic Medicine,US,education,Philadelphia,Pennsylvania,40.00555038452149,-75.21669006347656
https://openalex.org/I106542073,University of Calcutta,IN,education,Kolkata,West Bengal,22.56263,88.36304
https://openalex.org/I10660446,Kunming University of Science and Technology,CN,education,Kunming,,25.061561584472656,102.69563293457033
https://openalex.org/I106645853,Changchun University of Science and Technology,CN,education,Changchun,,43.880001068115234,125.3227767944336
https://openalex.org/I106718257,BHP (Australia),AU,company,Melbourne,,-37.81399917602539,144.96331787109375
https://openalex.org/I106745318,NOAA National Marine Fisheries Service,US,government,Silver Spring,,38.99066925048828,-77.02609252929688
https://openalex.org/I106778892,Princess Nourah bint Abdulrahman University,SA,education,Riyadh,,24.68773078918457,46.72185134887695
https://openalex.org/I106785703,Institut polytechnique de Grenoble,FR,education,Grenoble,Auvergne-Rhône-Alpes,45.17869,5.71479
https://openalex.org/I106814784,National Centre for Polar and Ocean Research,IN,government,Vasco,Goa,15.39585,73.81568
https://openalex.org/I106826634,Jain University,IN,education,Bengaluru,,12.94637393951416,77.57877349853516
https://openalex.org/I106845459,Universidad de Panamá,PA,education,Panama City,,8.993599891662598,-79.51972961425781
https://openalex.org/I106938459,University of New Brunswick,CA,education,Fredericton,New Brunswick,45.94541,-66.66558
https://openalex.org/I106959904,Florida Institute of Technology,US,education,Melbourne,,28.083629608154297,-80.60810852050781
https://openalex.org/I106965489,United States Army Medical Command,US,government,San Antonio,Texas,29.42412,-98.49363
https://openalex.org/I106969075,Idaho State University,US,education,Pocatello,,42.87129974365234,-112.4455337524414
https://openalex.org/I106994412,Sinopec (China),CN,company,Beijing,,39.907501220703125,116.39723205566406
https://openalex.org/I107077323,Worcester Polytechnic Institute,US,education,Worcester,Massachusetts,42.26259,-71.80229
https://openalex.org/I107118585,Shepherd University,US,education,Shepherdstown,West Virginia,39.4361686706543,-77.8023681640625
https://openalex.org/I107139065,College of the Holy Cross,US,education,Worcester,,42.26258850097656,-71.80229187011719
https://openalex.org/I107139324,Kagoshima University,JP,education,Kagoshima,Kagoshima,31.56667,130.55
https://openalex.org/I107145371,United Nations Development Programme,US,other,New York,,40.71427154541016,-74.00596618652344
https://openalex.org/I107182072,Tung Wah College,CN,education,Hong Kong,,22.31267738342285,114.17567443847656
https://openalex.org/I107229657,Zamorano Pan-American Agricultural School,HN,education,Tegucigalpa,,14.010649681091309,-87.0113754272461
https://openalex.org/I107326029,Oranim Academic College of Education,IL,education,Haifa,,32.77088165283203,35.13666915893555
https://openalex.org/I107341208,Louisiana State University System,US,education,Baton Rouge,Louisiana,30.403505325317383,-91.17235565185548
https://openalex.org/I107363760,Harding University Main Campus,US,education,Searcy,,35.250640869140625,-91.73625183105467
https://openalex.org/I107371206,Federal Institute of São Paulo,BR,education,São Paulo,,-23.52257537841797,-46.623046875
https://openalex.org/I107428990,Instituto Tecnológico de Aeronáutica,BR,education,São José dos Campos,,-23.17943954467773,-45.886940002441406
https://openalex.org/I107470533,Tamkang University,TW,education,Taipei,,25.174999237060547,121.4489974975586
https://openalex.org/I107606265,Broad Institute,US,nonprofit,Cambridge,Massachusetts,42.3751,-71.10561
https://openalex.org/I107639228,University of Notre Dame,US,education,Notre Dame,Indiana,41.70019,-86.23793
https://openalex.org/I107656453,South Australia Pathology,AU,nonprofit,Adelaide,South Australia,-34.9346809387207,138.63174438476562
https://openalex.org/I107672454,Dartmouth College,US,education,Hanover,New Hampshire,43.70229,-72.28954
https://openalex.org/I107707843,Roskilde University,DK,education,Roskilde,,55.64152145385742,12.080349922180176
https://openalex.org/I107720978,Ain Shams University,EG,education,Cairo,,30.07691192626953,31.290681838989254
https://openalex.org/I107740395,Sri Venkateswara Institute of Medical Sciences,IN,education,Tirumala - Tirupati,,13.641852378845217,79.40632629394531
https://openalex.org/I107766831,NSF National Center for Atmospheric Research,US,facility,Boulder,Colorado,40.01499,-105.27055
https://openalex.org/I107851509,Chinese Academy of Tropical Agricultural Sciences,CN,government,Haikou,,20.034210205078125,110.34651184082033
https://openalex.org/I107949126,University of Lethbridge,CA,education,Lethbridge,,49.699989318847656,-112.8185577392578
https://openalex.org/I107982497,Dalian Ocean University,CN,education,Dalian,,38.9122200012207,121.60221862792967
https://openalex.org/I108103353,Universidad de Valladolid,ES,education,Valladolid,Castille and León,41.65541,-4.72353
https://openalex.org/I108109523,Southern Research Institute,US,nonprofit,Durham,North Carolina,36.10068130493164,-78.84941101074219
https://openalex.org/I108160477,Hebei Agricultural University,CN,education,Baoding,,38.87287902832031,115.46246337890624
https://openalex.org/I10824318,Universidade Federal de Ouro Preto,BR,education,Ouro Preto,,-20.39484024047852,-43.50516891479492
https://openalex.org/I108290504,University of Pisa,IT,education,Pisa,Tuscany,43.70853,10.4036
https://openalex.org/I108403487,Warsaw University of Technology,PL,education,Warsaw,,52.22977066040039,21.01177978515625
https://openalex.org/I108468826,Stevens Institute of Technology,US,education,Hoboken,,40.74399185180664,-74.03235626220703
https://openalex.org/I108688024,Qingdao University,CN,education,Qingdao,,36.06488037109375,120.3804168701172
https://openalex.org/I108714496,Tunis University,TN,education,Tunis,Tunis Governorate,36.81897,10.16579
https://openalex.org/I108785884,Intermountain Healthcare,US,healthcare,Salt Lake City,,40.760780334472656,-111.89105224609376
https://openalex.org/I108865366,Human Genome Sciences (United States),US,company,Rockville,Maryland,39.09664916992188,-77.2037582397461
https://openalex.org/I108904480,Shenyang Institute of Engineering,CN,education,Shenyang,,41.8354721069336,123.41073608398438
https://openalex.org/I108907416,Latakia University,SY,education,Latakia,Latakia,35.53125,35.79088
https://openalex.org/I10899854,Jiangxi University of Traditional Chinese Medicine,CN,education,Nanchang,,28.6839599609375,115.85305786132812
https://openalex.org/I10902133,Universitat Jaume I,ES,education,Castellon,,39.98566818237305,-0.0493500009179115
https://openalex.org/I109289231,National Kaohsiung First University of Science and Technology,TW,education,Kaohsiung City,,22.616260528564453,120.3133316040039
https://openalex.org/I109301148,Pasadena City College,US,education,Pasadena,California,34.14455032348633,-118.11819458007812
https://openalex.org/I10947320,South African Medical Research Council,ZA,other,Cape Town,,-33.91628646850586,18.604434967041016
https://openalex.org/I109570744,Sigmund Freud Privatuniversität Wien,AT,education,Vienna,Vienna,48.20849,16.37208
https://openalex.org/I109689652,FPT University,VN,education,Hanoi,,21.02449989318848,105.84117126464844
https://openalex.org/I109935558,Ningbo University,CN,education,Ningbo,Zhejiang,29.87819,121.54945
https://openalex.org/I109954829,Agricultural University of Athens,GR,education,Athens,,37.98376083374024,23.727840423583984
https://openalex.org/I110002522,University of Essex,GB,education,Colchester,,51.88920974731445,0.9042099714279176
https://openalex.org/I11000651,Jatiya Kabi Kazi Nazrul Islam University,BD,education,Dhaka,,24.58293342590332,90.37466430664062
https://openalex.org/I110017253,Université de Tours,FR,education,Tours,Centre-Val de Loire,47.39484,0.70398
https://openalex.org/I110026055,Iscte – Instituto Universitário de Lisboa,PT,education,Lisbon,Lisbon,38.71667,-9.13333
https://openalex.org/I11006740,Southern California Coastal Water Research Project,US,facility,Costa Mesa,California,33.64113,-117.91867
https://openalex.org/I110079840,University of Hohenheim,DE,education,Stuttgart,,48.782318115234375,9.177020072937012
https://openalex.org/I110116418,Maharaja Sayajirao University of Baroda,IN,education,Vadodara,Gujarat,22.30990028381348,73.18599700927734
https://openalex.org/I110120368,"National Agency for New Technologies, Energy and Sustainable Economic Development",IT,government,Rome,Lazio,41.89193,12.51133
https://openalex.org/I110152177,University of Akron,US,education,Akron,Ohio,41.08144,-81.51901
https://openalex.org/I110166357,University of Delhi,IN,education,New Delhi,Delhi,28.62137,77.2148
https://openalex.org/I11019714,Universidade da Coruña,ES,education,A Coruña,Galicia,43.37135,-8.396
https://openalex.org/I110200422,Universidade Federal de Minas Gerais,BR,education,Belo Horizonte,Minas Gerais,-19.871904373168945,-43.96624755859375
https://openalex.org/I110217816,Dongduk Women's University,KR,education,Seoul,,37.606563568115234,127.0417938232422
https://openalex.org/I110273157,Kookmin University,KR,education,Seoul,,37.61138153076172,126.9972686767578
https://openalex.org/I110325482,Eastern Kentucky University,US,education,Richmond,,37.747859954833984,-84.29464721679688
https://openalex.org/I110357561,University of the Sciences,US,education,Philadelphia,,39.9523811340332,-75.16361999511719
https://openalex.org/I110378019,Southern Illinois University Carbondale,US,education,Carbondale,,37.72726821899414,-89.21675109863281
https://openalex.org/I110383171,American Society For Engineering Education,US,nonprofit,Washington D.C.,District of Columbia,38.90705108642578,-77.0429458618164
https://openalex.org/I11039511,University of Bergamo,IT,education,Bergamo,,45.69601058959961,9.66720962524414
https://openalex.org/I110440473,Xi'an University of Science and Technology,CN,education,Xi'an,,34.258331298828125,108.9286117553711
https://openalex.org/I110507236,Gates (United States),US,company,Denver,Colorado,39.75225830078125,-105.00325012207033
https://openalex.org/I110525433,"Islamic Azad University, Tehran",IR,education,Tehran,Tehran,35.69439,51.42151
https://openalex.org/I110594554,Ikerbasque,ES,other,Bilbao,,43.26271057128906,-2.9252800941467285
https://openalex.org/I110640572,Guiyang College of Traditional Chinese Medicine,CN,education,Guiyang,,26.57474136352539,106.72333526611328
https://openalex.org/I110675161,Infosys (India),IN,company,Bengaluru,Karnataka,12.97194,77.59369
https://openalex.org/I110736937,Délégation Paris 5,FR,government,Paris,Île-de-France,48.85341,2.3488
