institution_id,display_name,city,region,country,old_lat,old_lon,new_lat,new_lon,status,query,nominatim_display_name
https://openalex.org/I33213144,University of Florida,Gainesville,Florida,US,29.65163,-82.32483,29.6411884,-82.3562296,geocoded,"University of Florida, Gainesville","University of Florida, Southwest 26th Drive, Gainesville, Alachua County, Florida, 32611, United States"
https://openalex.org/I1280640908,The Nature Conservancy,Arlington,,US,38.88100814819336,-77.10427856445312,38.8830237,-77.1123659,geocoded,"Nature Conservancy, Arlington","Nature Conservancy, Bluemont, Ballston, Arlington, Arlington County, Virginia, United States"
https://openalex.org/I4210103790,Faculdades Oswaldo Cruz,São Paulo,,BR,-23.54750061035156,-46.6361083984375,-23.5305347,-46.6567045,geocoded,"Faculdades Oswaldo Cruz, São Paulo","Faculdades Oswaldo Cruz, 540, Rua Brigadeiro Galvão, Barra Funda, Santa Cecília, São Paulo, Região Sudeste, 01151-000, Brasil"
https://openalex.org/I17068995,Florida Fish and Wildlife Conservation Commission,Tallahassee,,US,30.43825912475586,-84.28073120117188,30.4370344,-84.2775027,geocoded,"Florida Fish and Wildlife Conservation Commission, Tallahassee","Bryant Building, 620, South Meridian Street, Tallahassee, Leon County, Florida, 32399, United States"
https://openalex.org/I243754102,Universidade Federal do Ceará,Fortaleza,Ceará,BR,-3.71722,-38.54306,-3.7444338,-38.5771261,geocoded,"Universidade Federal do Ceará, Fortaleza","Anfiteatro do Centro de Tecnologia, Campus do Pici Professor Prisco Bezerra, Pici, Fortaleza, Ceará, Região Nordeste, 60451-970, Brasil"
https://openalex.org/I165779595,The University of Melbourne,Melbourne,Victoria,AU,-37.814,144.96332,-37.8241371,144.9170886,geocoded,"University of Melbourne, Melbourne","University of Melbourne (Future Fishermans Bend Campus), Port Melbourne, Melbourne, Victoria, 3207, Australia"
https://openalex.org/I117965899,University of Hawaiʻi at Mānoa,Honolulu,,US,21.30694007873535,-157.85833740234375,21.2982795,-157.8186932,geocoded,"University of Hawaiʻi at Mānoa, Honolulu","University of Hawaiʻi at Mānoa, 2500, Campus Road, Lower Mānoa, Mānoa, East Honolulu, Honolulu, Honolulu County, Hawaii, 96822, United States"
https://openalex.org/I1338124936,American Museum of Natural History,New York,,US,40.71427154541016,-74.00596618652344,40.7811007,-73.9742362,geocoded,"American Museum of Natural History, New York","American Museum of Natural History, 200, Central Park West, Upper West Side, Manhattan Community Board 7, Manhattan, New York County, New York, 10024, United States"
https://openalex.org/I201448701,University of Washington,Seattle,Washington,US,47.60621,-122.33207,47.6554303,-122.3001692,geocoded,"University of Washington, Seattle","University of Washington, 1410, Northeast Campus Parkway, West Campus, University District, Seattle, King County, Washington, 98195, United States"
https://openalex.org/I203238179,Rhodes University,Grahamstown,,ZA,-33.30421829223633,26.532760620117188,-33.314015,26.5160334,geocoded,"Rhodes University, Grahamstown","Rhodes University, Drostdy Road, Makana Ward 12, Makhanda, Makana Local Municipality, Sarah Baartman District Municipality, Eastern Cape, 6139, South Africa"
