sharkipedia_id,sharkipedia_source,sharkipedia_doi,match_method,our_doi,our_title,our_year,our_authors,our_literature_id
avsar2001,"AVSAR, D. (2001) Age, Size, reproduction and feeding of the spurdog (Squalus acanthias Linnaeus, 1758) in the South-eastern Black Sea. Estuarine, Coastal and Shelf Science, 52 (2): 269",,title+year,10.1006/ecss.2000.0749,"Age, Size, reproduction and feeding of the spurdog (Squalus acanthias Linnaeus, 1758) in the South-eastern Black Sea.",2001,"Avsar, D. (2001)",5220.0
awruch2009,"AWRUCH, C.A. & PANKHURST, N.W. & FRUSHER, S.D. & STEVENS, J.D. (2009) Reproductive seasonality and embryo development in the draughtboard shark Cephaloscyllium laticeps. Marine and Freshwater Research, 60 (12): 1265",,title+year,10.1071/mf09030,Reproductive seasonality and embryo development in the draughtboard shark Cephaloscyllium laticeps.,2009,"Awruch, C.A. & Pankhurst, N.W. & Frusher, S.D. & Stevens, J.D. (2009)",5456.0
azevedo2003,"AZEVEDO, J.M.N. & SOUSA, F.L. & BRUM, J.M.M. (2003) Dermal denticles and morphometrics of the sailfin roughshark Oxynotus paradoxus (Elasmobranchii, Oxynotidae), with comments on its geographic distribution. Cybium, 27 (2): 117",,title+year,,"Dermal denticles and morphometrics of the sailfin roughshark Oxynotus paradoxus (Elasmobranchii, Oxynotidae), with comments on its geographic distribution.",2003,"Azevedo, J.M.N. & Sousa, F.L. & Brum, J.M.M. (2003)",108.0
barnett2006,"BARNETT, L.A.K. & DIDIER, D.A. & LONG, D.J. & EBERT, D.A. (2006) Hydrolagus mccoskeri sp. nov., a new species of chimaeroid fish from the Galápagos Islands (Holocephali: Chimaeriformes: Chimaeridae). Zootaxa, 1328: 27",,title+year,,"Hydrolagus mccoskeri sp. nov., a new species of chimaeroid fish from the Galápagos Islands (Holocephali: Chimaeriformes: Chimaeridae).",2006,"Barnett, L.A.K. & Didier, D.A. & Long, D.J. & Ebert, D.A. (2006)",3924.0
bejaranoalvarez2011,"BEJARANO-ÁLVAREZ, M. & GALVÁN-MAGAÑA, F. & OCHOA-BÁEZ, R.I. (2011) Reproductive biology of the scalloped hammerhead shark Sphyrna lewini.(Chondrichthyes: Sphyrnidae) off south-west Mexico. Aqua, International Journal of Ichthyology, 17 (1): 11",,title+year,,Reproductive biology of the scalloped hammerhead shark Sphyrna lewini.(Chondrichthyes: Sphyrnidae) off south-west Mexico.,2011,"Bejarano-Álvarez, M. & Galván-Magaña, F. & Ochoa-Báez, R.I. (2011)",13057.0
bizzarro2007a,"BIZZARRO, J.J. & SMITH, W.D. & MARQUEZ-FARIAS, J.F. & HUETER, R.E. (2007) Artisanal fisheries and reproductive biology of the golden cownose ray, Rhinoptera steindachneri Evermann and Jenkins, 1891, in the northern Mexican Pacific. Fisheries Research, 84 (2): 137",,title+year,10.1016/j.fishres.2006.10.016,"Artisanal fisheries and reproductive biology of the golden cownose ray, Rhinoptera steindachneri Evermann and Jenkins, 1891, in the northern Mexican Pacific.",2007,"Bizzarro, J.J. & Smith, W.D. & Marquez-Farias, J.F. & Hueter, R.E. (2007)",6484.0
blancoparra2008,"BLANCO-PARRA, M.P. & GALVÁN-MAGAÑA, F. & MÁRQUEZ-FARÍAS, F. (2008) Age and growth of the blue shark, Prionace glauca Linnaeus, 1758, in the Northwest coast off Mexico. Revista de Biología Marina y Oceanografía, 43 (3): 513",,title+year,,"Age and growth of the blue shark, Prionace glauca Linnaeus, 1758, in the Northwest coast off Mexico.",2008,"Blanco-Parra, M.P. & Galván-Magaña, F. & Márquez-Farías, F. (2008)",11330.0
bond2018,"BOND, M.E. & VALENTIN-ALBANESE, J. & BABCOCK, E.A. & HUSSEY, N.E. & HEITHAUS, M.R. & CHAPMAN, D.D. (2018) The trophic ecology of Caribbean reef sharks (Carcharhinus perezi) relative to other large teleost predators on an isolated coral atoll. Marine Biology, 165: 67",,title+year,10.1007/s00227-018-3322-2,The trophic ecology of Caribbean reef sharks (Carcharhinus perezi) relative to other large teleost predators on an isolated coral atoll.,2018,"Bond, M.E. & Valentin-Albanese, J. & Babcock, E.A. & Hussey, N.E. & Heithaus, M.R. & Chapman, D.D. (2018)",26177.0
bonfil1993,"BONFIL, R. & MENA, R. & DE ANDA, D. (1993) Biological parameters of commercially exploited silky sharks, Carcharhinus falciformis, from the Campeche Bank, Mexico. In: Conservation Biology of Elasmobranchs. Ed. by S. Branstetter. NOAA Technical Report NMFS, 115: 73",,title+year,,"Biological parameters of commercially exploited silky sharks, Carcharhinus falciformis, from the Campeche Bank, Mexico.",1993,"Bonfil, R. & Mena, R. & de Anda, D. (1993)",5493.0
brame2019,"Brame AB, Wiley TR, Carlson JK, Fordham SV and others (2019) Biology, ecology, and status of the smalltooth sawfish Pristis pectinata in the USA. Endang Species Res 39:9-23. https://doi.org/10.3354/esr00952",10.3354/esr00952,doi,10.3354/esr00952,"Biology, ecology, and status of the smalltooth sawfish Pristis pectinata in the USA.",2019,"Brame, A.B. & Wiley, T.R. & Carlson, J.K. & Fordham, S.V. & Grubbs, R.D. & Osborne, J. & Scharer, R.M. & Bethea, D.M. & Poulakis, G.R. (2019)",27641.0
branstetter1987,"BRANSTETTER, S. (1987) Age and growth-estimates for blacktip, Carcharhinus limbatus, and spinner, C. brevipinna, sharks from the northwestern Gulf of Mexico. Copeia, 1987 (4): 964",,title+year,,"Age and growth-estimates for blacktip, Carcharhinus limbatus, and spinner, C. brevipinna, sharks from the northwestern Gulf of Mexico.",1987,"Branstetter, S. (1987)",5741.0
