sharkipedia_id,sharkipedia_source,sharkipedia_doi,extracted_title,extracted_year
navanava2013,"Nava-Nava, P. (2013) Biología reproductiva de la raya enana, Urotrygon nana Miyake y McEachran, 1988, en las costas de Sinaloa, México. Master thesis. Universidad Nacional Autónoma de México. Mexico. 106 pp.",,"Biología reproductiva de la raya enana, Urotrygon nana Miyake y McEachran, 1988, en las costas de Sinaloa, México",2013
navanava2014,"NAVA NAVA, P. & FERNANDO MARQUEZ-FARIAS, J. (2014) Size at maturity of the smooth hammerhead shark, Sphyma zygaella, captured in the Gulf of California. Hidrobiológica, 24 (2): 129",,"Size at maturity of the smooth hammerhead shark, Sphyma zygaella, captured in the Gulf of California",2014
ocampotorres2000b,"Ocampo-Torres, A. I. (2000b) Aspectos biológico-pesqueros del cazón Pech Sphyrna tiburo (Linnaeus, 1758) en las aguas de Campeche, México. Bachelor thesis. Universidad Nacional Autónoma de México. Mexico. 104 pp.",,"Aspectos biológico-pesqueros del cazón Pech Sphyrna tiburo (Linnaeus, 1758) en las aguas de Campeche, México",2000
ordoñezlopez2004,"Ordoñez-López, J. (2004) Aspectos reproductivos y alimenticios de la raya pinto Urotrygon chilensis (Günter, 1871) (Pisces: Urolophidae) en el Pacífico central mexicano. Bachelor thesis, Universidad Nacional Autónoma de México. Mexico. 69 pp.",,"Aspectos reproductivos y alimenticios de la raya pinto Urotrygon chilensis (Günter, 1871) (Pisces: Urolophidae) en el Pacífico central mexicano",2004
paiva2012a,"PAIVA, R.B. & NEVES, A. & SEQUEIRA, V. & NUNES, M.L. & GORDO, L.S. & BANDARRA, N. (2012) Reproductive strategy of the female deep-water shark birdbeak dogfish, Deania calcea: lecithotrophy or matrotrophy? Journal of the Marine Biological Association of the United Kingdom, 92 (2): 387",,"Reproductive strategy of the female deep-water shark birdbeak dogfish, Deania calcea: lecithotrophy or matrotrophy? Journal of the Marine Biological Association of the United Kingdom, 92 (2): 387",2012
perezjimenez1997,"Pérez-Jiménez, J. C. (1997). Análisis biológico-pesquero de tiburones de las familias sphyrnidae, alopiidae y lamnidae (Elasmobranchii) capturados por la principal flota artesanal del sur de Nayarit, México. Temporada 1995-1996. Bachelor thesis. Universidad de Guadalajara. Mexico. 62 p.",,,1997
rastgoo2016,"RASTGOO, A.R. & FATEMI, M.R. & VALINASSAB, T. & MORTAZAVI, M.S. (2016) Length",,,2016
rodriguezmadrigal2018,"Rodríguez-Madrigal, J. A. (2018) Estimación de crecimiento del tiburón mako (Isurus oxyrinchus) en el pacífico mexicano mediante inferencia multimodal y distintos métodos para estimar la edad. Master thesis. Universidad Nacional Autónoma de México. Mexico. 81 pp.",,Estimación de crecimiento del tiburón mako (Isurus oxyrinchus) en el pacífico mexicano mediante inferencia multimodal y distintos métodos para estimar la edad,2018
rubiolozano2009,"Rubio-Lozano, M. S. (2009) Aspectos reproductivos de la raya Urotrygon chilensis (Günter, 1871) en las costas de Sinaloa, México. Bachelor tesis. Universidad Nacional Autónoma de México. Mexico. 72 pp.",,"Aspectos reproductivos de la raya Urotrygon chilensis (Günter, 1871) en las costas de Sinaloa, México",2009
ruizalvarez2006,"Ruíz-Álvarez-de la Cuadra, K. C. (2006). Edad y crecimiento del cazón de ley, Rhizoprionodon terranovae (Richardson, 1836), en áreas adyacentes a la Laguna de Tamiahua, Veracruz, México. Bachelor thesis. Universidad Nacional Autónoma de México. Mexico. 74 pp.",,,2006
sanchezcota2016,"Sánchez-Cota, J. B. (2016) Edad y crecimiento de la raya mariposa, Gymnura marmorata (Cooper, 1864) en la porción sur de la costa occidental de Baja California Sur, México. Master thesis. Centro Interdisciplinario de Ciencias Marinas. Mexico. 52 p.",,"Edad y crecimiento de la raya mariposa, Gymnura marmorata (Cooper, 1864) en la porción sur de la costa occidental de Baja California Sur, México",2016
serranolopez2009,"Serrano-López, J. N. (2009) Estudio comparativo de la reproducción de tres especies del género Mobula (Chondrichthyes:Mobulidae) en el suroeste del Golfo de California, México. Master thesis. Centro Interdisciplinario de Ciencias Marinas. Mexico. 73 p.",,"Estudio comparativo de la reproducción de tres especies del género Mobula (Chondrichthyes:Mobulidae) en el suroeste del Golfo de California, México",2009
setna1949b,"SETNA, S.B. & SARANGDHAR, P.N. (1949) Breeding habits of Bombay elasmobranchs. Records of the Indian Museum, 47 (1): 107",,Breeding habits of Bombay elasmobranchs,1949
