reference_name,reference_doi,species_superorder,species_name,marine_province,location_name,lat,long,date,sex,trait_class,trait_name,standard_name,method_name,model_name,value,value_type,precision,precision_type,precision_upper,sample_size,dubious,validated,validation_type,notes,contributor_id,depth
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,Linf,Coefficient,Vertebrae,Other,360.3,mean,,,,236,TRUE,0,,Schnute Function; not best fit,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,t0,Coefficient,Vertebrae,Other,-0.145,mean,,,,236,TRUE,0,,"Schnute Function, not best fit",,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,Linf,Coefficient,Vertebrae,VBFG3 ML,331.9,mean,17.92,95% Confidence Interval,,,FALSE,0,,Not best fit; Observed length @ growth ring data,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,k,Coefficient,Vertebrae,VBFG3 ML,0.172,mean,0.043,95% Confidence Interval,,,TRUE,0,,Not best fit; Observed length @ growth ring data,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,t0,Coefficient,Vertebrae,VBFG3 ML,-2.246,mean,1.022,95% Confidence Interval,,,TRUE,0,,Not best fit; Observed length @ growth ring data,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil ,,,1992-2000,Pooled,Growth,Linf,Coefficient,Vertebrae,VBFG3 ML,321.1,mean,10.8,95% Confidence Interval,,,TRUE,0,,Not best fit; Observed + back calc data,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,k,Coefficient,Vertebrae,VBFG3 ML,0.229,mean,0.026,95% Confidence Interval,,,TRUE,0,,Not best fit; Observed + back calc data,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,t0,Coefficient,Vertebrae,VBFG3 ML,-0.678,mean,0.178,95% Confidence Interval,,,TRUE,0,,Not best fit; Observed + back calc data,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Length,Lbirth,cm TL,Back calculated,Directly from growth curves,56.4,raw_value,,,,,FALSE,0,,Based on vertebral analysis ,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,APE,Coefficient,Vertebrae,VBFG3 ML,0,min,,range,3.1,,FALSE,0,,IAPE = 3-12 growth rings ,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Relationships,b,Coefficient,Derived,Length-Length,1.1211,raw_value,,,,122,FALSE,0,,TL = bFL + a,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Relationships,a,Coefficient,Derived,Length-Length,0.08044,raw_value,,,,122,FALSE,0,,TL = bFL + a ,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Male,Length,Lmax-observed,cm TL,Max observed size,Observational,310,max,,,,1,FALSE,0,,,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Female,Length,Lmax-observed,cm TL,Max observed size,Observational,283,max,,,,1,FALSE,0,,,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Male,Length,Length at first maturity,cm TL,Back calculated,Directly from growth curves,225,raw_value,,,,,FALSE,0,,VBGF,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Female,Length,Length at first maturity,cm TL,Back calculated,Directly from growth curves,228,raw_value,,,,,FALSE,0,,VBGF,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,Linf,Coefficient,Vertebrae,VBFG3 ML,352.1,mean,6.14,95% Confidence Interval,,236,FALSE,0,,Back calculated; best fit ,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,k,Coefficient,Vertebrae,VBFG3 ML,0.157,mean,0.007,95% Confidence Interval,,236,FALSE,0,,Back calculated; best fit ,,
lessa2004,10.1016/S0165-7836(03)00193-0,Galeomorphii,Prionace glauca,Brazilian current coast,Northeastern Brazil,,,1992-2000,Pooled,Growth,t0,Coefficient,Vertebrae,VBFG3 ML,-1.01,mean,0.075,95% Confidence Interval,,236,FALSE,0,,Back calculated; best fit ,,
yano2007,10.1007/s10228-007-0414-2,Galeomorphii,Mitsukurina owstoni,Kuroshio current,Tokyo Submarine Canyon,,,1995-1996,Female,Length,Lmax-observed,cm TL,Max observed size,Observational,196.1,max,,,,1,TRUE,0,,Immature,,100-350
yano2007,10.1007/s10228-007-0414-2,Galeomorphii,Mitsukurina owstoni,Kuroshio current,Tokyo Submarine Canyon,,,1995-1996,Male,Length,Lmax-observed,cm TL,Max observed size,Observational,208.5,max,,,,1,TRUE,0,,Immature,,100-350
parsons2002,10.1656/1528-7092(2002)001[0189:FROTGS]2.0.CO;2,Galeomorphii,Mitsukurina owstoni,Caribbean,Northern Gulf of Mexico,,,2000,Female,Length,Lmax-observed,cm TL,Max observed size,Observational,540,min,,range,617,1,FALSE,0,,Modelled from 540 using regression analysis ,,919-1099
rincon2012,10.1017/S1755267211000923,Galeomorphii,Mitsukurina owstoni,Brazilian current coast,Rio de Janeiro,,,2008,Male,Length,Lmax-observed,cm TL,Max observed size,Observational,315.2,max,,,,1,FALSE,0,,,,700-1000
rincon2012,10.1017/S1755267211000923,Galeomorphii,Mitsukurina owstoni,Brazilian current coast,Rio de Janeiro,,,2008,Male,Length,Body Mass,kg,Max observed size,Observational,99,max,,,,1,FALSE,0,,,,700-1000
driggers2014,10.1017/S1755267214000876,Galeomorphii,Mitsukurina owstoni,Caribbean,Northern Gulf of Mexico,,,2014,Pooled,Length,Lmax-observed,cm TL,Max observed size,Observational,480,min,,range,540,1,FALSE,0,,Estimated from fishers ,,490
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Male,Length,Lmax-observed,cm PSCFL,Max observed size,Observational,71,max,,,,1,FALSE,0,,,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Female,Length,Lmax-observed,cm PSCFL,Max observed size,Observational,74,max,,,,1,FALSE,0,,,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Pooled,Growth,PA,Coefficient,Spines,VBFG3 ML,49.4,raw_value,,,,,FALSE,0,,,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Pooled,Growth,cv_readers,Coefficient,Spines,VBFG3 ML,8.3,raw_value,,,,,FALSE,0,,,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Pooled,Growth,APE,Coefficient,Spines,VBFG3 ML,4.33,mean,,,,168,FALSE,0,,n =# of readings (IAPE),,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Male,Age,Amax-estimated,Year,Vertebrae - Spine - Tooth Plate,Directly from growth curves,30,max,,,,1,FALSE,0,,VBGF 3ML,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Female,Age,Amax-estimated,Year,Vertebrae - Spine - Tooth Plate,Directly from growth curves,26,max,,,,1,FALSE,0,,,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Male,Age,Age at first maturity,Year,Back calculated,Directly from growth curves,13.4,raw_value,,,,10,FALSE,0,,Via linear relationships & using age data in conjuction,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Female,Age,Age at first maturity,Year,Back calculated,Directly from growth curves,11.2,raw_value,,,,52,FALSE,0,,Via linear relationships & using age data in conjunction ,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Pooled,Growth,Linf,Coefficient,Spines,VBFG3 ML,78.87,raw_value,,,,62,FALSE,0,,Length @ age,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Pooled,Growth,k,Coefficient,Spines,VBFG3 ML,0.0673,raw_value,,,,62,FALSE,0,,Length @ age,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Pooled,Growth,t0,Coefficient,Spines,VBFG3 ML,-2.513,raw_value,,,,62,FALSE,0,,Length @ age,,471-740
calis2005,10.2960/J.v36.m501,Holocephalimorpha,Chimaera monstrosa,Atlantic sub-Arctic,Rockall Trough and Faroe-Shetland Channel,,,2000-2001,Pooled,Growth,L0,Coefficient,Spines,VBFG3 ML,12.28,raw_value,,,,62,FALSE,0,,Length @ age,,471-740
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Female,Length,Lmax-observed,cm TL,Max observed size,Observational,136,max,,,,1,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Male,Length,Lmat50,cm TL,Back calculated,Logistic,82,raw_value,,,,168,FALSE,0,,,,<100 
