species_id,species_name,scientific_name,authorship,iucn_code,superorder,order,family,genus
303,,,Garman 1908,,,,,
304,,,Iglésias & Lévy-Hartmann 2012 ,,,,,
305,,,Ishiyama & Ishihara 1977 ,,,,,
306,,,de Buen 1959 ,,,,,
307,,,Springer 1971 ,,,,,
308,,,Ishiyama & Ishihara 1977 ,,,,,
309,,,"Stevenson, Orr, Hoff & McEachran 2004",,,,,
310,,,Ishiyama 1952 ,,,,,
311,,,Stehmann 1987 ,,,,,
312,,,Osburn & Nichols 1916 ,,,,,
313,,,Ishiyama & Ishihara 1977 ,,,,,
314,,,Ishiyama & Ishihara 1977 ,,,,,
315,,,Forster 1967 ,,,,,
316,,,"Orr, Stevenson, Hoff, Spies & McEachran 2011 ",,,,,
317,,,Stehmann 1985 ,,,,,
318,,,Bean 1881 ,,,,,
319,,,McEachran & Miyake 1984 ,,,,,
320,,,Garrick 1961 ,,,,,
321,,,Norman 1937 ,,,,,
322,,,Krefft 1968 ,,,,,
323,,,Dolganov 1985 ,,,,,
324,,,Ishiyama 1967 ,,,,,
325,,,Soldatov & Pavlenko 1915 ,,,,,
326,,,Müller & Henle 1841 ,,,,,
327,,,Jensen 1914 ,,,,,
328,,,Beebe & Tee-Van 1941 ,,,,,
329,,,Ishiyama 1958 ,,,,,
330,,,Gilbert 1892 ,,,,,
331,,,Stehmann 2005 ,,,,,
332,,,Dolganov 1983 ,,,,,
333,,,Suvorov 1935 ,,,,,
334,,,Last & McEachran 2006 ,,,,,
335,,,Last & McEachran 2006 ,,,,,
336,,,Garrick & Paul 1974 ,,,,,
337,,,Last & Séret 2012 ,,,,,
338,,,Last & McEachran 2006 ,,,,,
339,,,Last & McEachran 2006 ,,,,,
340,,,Garrick & Paul 1974 ,,,,,
341,,,Last & Séret 2012 ,,,,,
342,,,Yearsley & Last 1992 ,,,,,
343,,,Stehmann 1989 ,,,,,
344,,,McCulloch 1911 ,,,,,
345,,,Last & Gledhill 2008 ,,,,,
346,,,Séret & Last 2012,,,,,
347,,,McEachran & Last 2008,,,,,
348,,,Séret & Last 2012,,,,,
349,,,Last & McEachran 2006 ,,,,,
350,,,Séret & Last 2012,,,,,
351,,,McEachran & Last 2008 ,,,,,
352,,,Séret & Last 2012,,,,,
353,,,McEachran & Last 1994 ,,,,,
354,,,Séret & Last 2009 ,,,,,
355,,,McEachran & Last 2008 ,,,,,
356,,,Hiyama 1940 ,,,,,
357,,,McEachran & Fechhelm 1982 ,,,,,
358,,,"Last, Mallick & Yearsley 2008 ",,,,,
359,,,"Last, Mallick & Yearsley 2008 ",,,,,
360,,,Günther 1880 ,,,,,
361,,,"Last, Mallick & Yearsley 2008 ",,,,,
362,,,"Last, Mallick & Yearsley 2008 ",,,,,
363,,,Marini 1932 ,,,,,
364,,,Garman 1913 ,,,,,
365,,,McEachran 1983 ,,,,,
366,,,McEachran 1983 ,,,,,
367,,,McEachran 1983 ,,,,,
368,,,Günther 1870 ,,,,,
369,,,Jordan 1891 ,,,,,
370,,,Philippi 1857 ,,,,,
371,,,Bigelow & Schroeder 1954 ,,,,,
372,,,Last et al 2016,,,,,
373,,,Tanaka 1916 ,,,,,
374,,,Ishiyama 1952 ,,,,,
375,,,Last et al 2016,,,,,
376,,,Last et al 2016,,,,,
377,,,Last et al 2016,,,,,
379,,,Ishiyama 1958 ,,,,,
380,,,Dolganov 1983 ,,,,,
381,,,Müller & Henle 1841 ,,,,,
382,,,Garman 1877 ,,,,,
383,,,Müller & Henle 1841 ,,,,,
384,,,Cope 1877 ,,,,,
385,,,Poeppig 1835 ,,,,,
386,,,Weigmann 2016,,,,,
387,,,Pozzi 1935 ,,,,,
388,,,Krefft 1968 ,,,,,
389,,,Norman 1938 ,,,,,
390,,,Collett 1879 ,,,,,
391,,,Weigmann 2016,,,,,
392,,,Donovan 1808 ,,,,,
393,,,Lloyd 1906 ,,,,,
394,,,Weigmann 2016,,,,,
395,,,Meisner 1987 ,,,,,
396,,,McEachran & Matheson 1985 ,,,,,
397,,,Bigelow & Schroeder 1948 ,,,,,
398,,,McEachran & Matheson 1985 ,,,,,
399,,,Bigelow & Schroeder 1950 ,,,,,
400,,,Bean & Weed 1909 ,,,,,
401,,,Bigelow & Schroeder 1958 ,,,,,
402,,,Last & Gledhill 2008 ,,,,,
403,,,Richardson 1845 ,,,,,
404,,,"Last, White & Pogonoski 2008 ",,,,,
405,,,"Last, White & Pogonoski 2008 ",,,,,
406,,,Last et al 2016,,,,,
407,,,Linnaeus 1758 ,,,,,
408,,,Bigelow & Schroeder 1962 ,,,,,
409,,,Wallace 1967 ,,,,,
410,,,Last 2008 ,,,,,
411,,,Last et al 2016,,,,,
412,,,Last 2008 ,,,,,
413,,,Séret 1989 ,,,,,
414,,,Cadenat 1960 ,,,,,
415,,,Beebe & Tee-Van 1941 ,,,,,
416,,,Last 2008 ,,,,,
417,,,Last 2008 ,,,,,
418,,,Last et al 2016,,,,,
419,,,Bigelow & Schroeder 1958 ,,,,,
420,,,Ishiyama 1958 ,,,,,
421,,,Last 2008 ,,,,,
422,,,Whitley 1940 ,,,,,
423,,,"Last, White & Pogonoski 2008 ",,,,,
