species_id,species_name,scientific_name,authorship,iucn_code,superorder,order,family,genus
982,,,Gunnerus 1765 ,,,,,
916,,,Cuvier 1816 ,,,,,
573,,,"Last, Séret & Naylor 2020",,,,,
145,,,Last et al 2016,,,,,
156,,,Lloyd 1908 ,,,,,
734,,,Gilbert 1898 ,,,,,
735,,,Rüppell 1837 ,,,,,
189,,,Castelnau 1855 ,,,,,
557,,,Garman 1906 ,,,,,
560,,,Bleeker 1851 ,,,,,
597,,,Last et al 2016,,,,,
1034,,,Smith 1828 ,,,,,
593,,,"Last, White & Fahmi 2006 ",,,,,
601,,,Müller & Henle 1841 ,,,,,
738,,,Rüppell 1837 ,,,,,
1242,,,"Last, Kyne & Compagno 2016 ",,,,,
612,,,Last et al 2016,,,,,
1265,,,"Quattro, Driggers, Grady, Ulrich & Roberts 2013 ",,,,,
920,,,Rüppell 1837 ,,,,,
1148,,,Linnaeus 1758 ,,,,,
1190,,,Linnaeus 1758 ,,,,,
