species_name,data_type,sampling_method,model,ocean,start_year,end_year,n_years,location
species_723,sCPUE,line,,,1993,2010,18,southwest_pacific
species_723,sCPUE,line,,,1993,2010,18,southwest_pacific
species_723,sCPUE,gillnet,,,1993,2010,18,southwest_pacific
species_723,sCPUE,gillnet,,,1993,2010,18,southwest_pacific
species_723,standardized_abundance,longline,,,2004,2015,12,"Bimini islands, Bahamas"
species_723,sCPUE,longline,,,1979,2013,15,southern tip of Eleuthera to the northern tip of Little San Salvador
species_723,nCPUE,bather_protection_net,,,1963,2017,55,"Queensland east coastline, Australia"
species_723,nCPUE,drumline,,,1963,2017,55,"Queensland east coastline, Australia"
species_723,sCPUE,bather_protection_net,,,1978,2003,26,Kwazulu-Natal coast South-Africa
species_723,nCPUE,bather_protection_net,,,1950,2009,60,New South Wales coast Australia
species_723,standardized_abundance,"longline, trawl, gillnet",,,1975,2014,40,North Carolina to Brownsville (USA)
species_723,sCPUE,longline,,,1994,2009,16,Northwest Atlantic
species_723,abundance,longline,,,1987,2000,14,West Atlantic
species_723,sCPUE,longline,,,2002,2017,15,northwestern Australia
species_723,sCPUE,longline,,,1994,2019,26,Northwest Atlantic
species_723,nCPUE,longline,,,1995,2009,15,"Pilbara and Kimberley, Northwest Australia"
species_723,sCPUE,bather_protection_net,,,1964,2007,44,"Cairns & Townsville, Australia"
species_723,nCPUE,longline,,,1995,2014,20,Western and Central Pacific
species_723,standardized_abundance,longline,,,1975,2014,26,"Chesapeake Bay and coastal Virginia waters, Virginia Institute of Marine Science Longline Survey (VIMS LL)"
species_723,standardized_abundance,longline,,,2001,2013,13,", Northern Gulf of Mexico and North Carolina waters, Southeast Fishery Science Centre Longline Survey (SEFSC LL)"
species_733,sCPUE,longline,,,2002,2017,15,northwestern Australia
species_770,sCPUE,trawl,,,2000,2019,14,Rockall Trough continental slope
species_736,standardized_biomass,multiple,,,1981,2017,37,"USA northwest Atlantic, Gulf of Mexico, Bahamas"
species_736,standardized_abundance,longline,,,2004,2015,12,"Bimini islands, Bahamas"
species_736,sCPUE,longline,,,1994,2009,16,Northwest Atlantic
species_736,sCPUE,longline,,,1982,2014,33,"Bimini islands, Bahamas"
species_736,nCPUE,longline,,,2013,2015,3,"USA northwest Atlantic, Gulf of Mexico, Bahamas"
species_736,nCPUE,longline,,,2008,2015,8,"USA northwest Atlantic, Gulf of Mexico, Bahamas"
species_736,sCPUE,longline,,,1994,2014,21,"USA northwest Atlantic, Gulf of Mexico, Bahamas"
species_737,sCPUE,longline,,,1957,2000,42,Northwest Atlantic
species_737,sCPUE,longline,,,1992,2005,14,West Atlantic
species_737,nCPUE,longline,,,1994,1997,4,Hawaii
species_737,sCPUE,longline,,,1977,1994,17,Chesapeake_Bay
species_737,sCPUE,longline,,,1977,1993,10,Chesapeake_Bay
species_737,sCPUE,longline,,,1996,2010,15,North Pacific
species_737,sCPUE,longline,,,1996,2010,15,South Pacific
species_737,abundance,longline,,,1987,2000,14,West Atlantic
species_737,sCPUE,longline,,,1995,2003,9,Northwest Atlantic
species_737,nCPUE,line,,,1998,2003,6,Northwest Atlantic
species_737,sCPUE,longline,,,1997,2013,14,North Pacific
species_737,sCPUE,longline,,,1996,2014,19,South Pacific
species_737,sCPUE,longline,,,1986,2005,20,West Atlantic
species_737,sCPUE,longline,,,1992,2005,14,West Atlantic
species_737,sCPUE,longline,,,1986,2005,20,Gulf of Mexico
species_737,sCPUE,longline,,,1992,2003,12,Northwest Atlantic
species_737,sCPUE,longline,,,1986,2003,18,Northwest Atlantic
species_737,standardized_biomass,multiple,,,1971,2013,43,South Atlantic
species_737,sCPUE,longline,,,2000,2016,17,Indian
species_737,sCPUE,longline,,,1978,2000,23,West Atlantic
species_737,sCPUE,longline,,,1995,2013,19,New-Zealand EEZ
species_737,standardized_biomass,multiple,,,1971,2013,43,North Atlantic
species_737,standardized_biomass,multiple,,,1971,2015,45,North Pacific
species_737,standardized_biomass,multiple,,,1976,2002,27,North Pacific
species_737,sCPUE,longline,,,1981,2006,26,South Atlantic
species_737,sCPUE,longline,,,1981,2006,26,North Atlantic
species_737,sCPUE,longline,,,2000,2005,6,South-Africa EEZ and close high seas
species_737,standardized_biomass,multiple,,,1950,2016,67,Indian
species_737,nCPUE,line,,,1991,2002,12,"S_Cape_Cod, northeast USA"
species_737,nCPUE,line,,,1991,2000,8,"N_Cape_Cod, northeast USA"
species_737,standardized_biomass,multiple,,,1994,2014,21,Southwest Pacific Ocean
species_744,standardized_abundance,longline,,,2007,2014,8,Georgia Red Drum Longline Survey (GA LL)
species_744,standardized_abundance,gillnet,,,1996,2014,19,Gulf of Mexico Shark Pupping and Nursery Area Gillnet Survey (GULFSPAN GN)
species_744,standardized_abundance,longline,,,2007,2014,8,South Carolina Coastal Longline Survey (SC LL)
species_744,standardized_abundance,trawl,,,1989,2014,26,SouthEast Area Monitoring and Assessment Program-South Atlantic Coastal Trawl Survey (SEAMAP-SA Trawl)
species_744,standardized_abundance,longline,,,2001,2013,13,Southeast Fishery Science Centre Longline Survey (SEFSC LL)
species_744,standardized_abundance,longline,,,1975,2014,29,Virginia Institute of Marine Science Longline Survey (VIMS LL)
species_744,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_744,nCPUE,trawl,,,1987,2008,22,North Gulf of Mexico (USA)
species_744,nCPUE,trawl,,,2009,2018,10,North Gulf of Mexico (USA)
species_744,sCPUE,trawl,,,2002,2013,11,"Brownsville, TX to the Florida Keys, FL (USA)"
species_744,sCPUE,longline,,,1995,2018,23,North Carolina to Brownsville (USA)
species_744,standardized_abundance,multiple,,,1950,2011,62,Northwest Atlantic and North Gulf of Mexico
species_747,abundance,longline,,,1995,2005,11,southwest_pacific
species_784,sCPUE,trawl,,,2007,2019,9,Rockall Trough continental slope
species_790,sCPUE,trawl,,,2002,2019,13,Rockall Trough continental slope
species_803,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_803,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_828,sCPUE,trawl,,,1994,2006,13,Southeast Australia - Eastern region
species_828,sCPUE,trawl,,,2000,2006,7,Southeast Australia - Eastern region
species_833,sCPUE,trawl,,,1996,2006,11,Southeast Australia - Eastern region
species_833,sCPUE,trawl,,,2000,2006,7,Southeast Australia - Eastern region
species_848,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_848,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_852,standardized_abundance,trawl,,,1994,2015,22,"Northern Alboran Sea, Mediterranean Sea"
species_852,standardized_biomass,trawl,,,1994,2015,22,"Northern Alboran Sea, Mediterranean Sea"
species_852,standardized_abundance,trawl,,,2000,2015,16,"Northern Alboran Sea, Mediterranean Sea"
species_852,standardized_biomass,trawl,,,2000,2015,16,"Northern Alboran Sea, Mediterranean Sea"
species_852,sCPUE,trawl,,,2009,2018,10,"Galician and Cantabrian shelf, Spain coast"
species_852,sCPUE,trawl,,,2009,2018,10,"Galician and Cantabrian shelf, Spain coast"
species_857,standardized_abundance,trawl,,,2000,2015,16,"Northern Alboran Sea, Mediterranean Sea"
species_857,standardized_abundance,trawl,,,1994,2015,22,"Northern Spain, Mediterranean Sea"
species_857,standardized_abundance,trawl,,,2001,2015,15,Balearic Islands
species_857,standardized_biomass,trawl,,,2000,2015,16,"Northern Alboran Sea, Mediterranean Sea"
species_857,standardized_biomass,trawl,,,1994,2015,22,"Northern Spain, Mediterranean Sea"
species_857,standardized_biomass,trawl,,,2001,2015,15,Balearic Islands
species_857,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_857,sCPUE,trawl,,,2009,2017,9,"Galician and Cantabrian shelf, Spain coast"
species_857,sCPUE,trawl,,,2009,2017,9,"Galician and Cantabrian shelf, Spain coast"
species_857,sCPUE,trawl,,,1997,2018,22,"Gulf of Cadiz, Spain"
species_857,sCPUE,trawl,,,1983,2017,34,"Galician and Cantabrian shelf, Spain coast"
species_857,sCPUE,trawl,,,1998,2019,15,Rockall Trough continental slope
species_857,sCPUE,trawl,,,1994,2011,18,"Ligurian Sea and Northern Tyrrhenian Sea (Geographical sub-area 9), Mediterranean Sea"
species_857,sCPUE,trawl,,,1994,2011,18,"South and Central Tyrrhenian Sea (Geographical sub-area 10), Mediterranean Sea"
species_857,sCPUE,trawl,,,1994,2011,18,"Sardinia (Geographical sub-area 11), Mediterranean Sea"
species_857,sCPUE,trawl,,,1994,2010,16,"Southern Sicily (Geographical sub-area 16), Mediterranean Sea"
species_857,sCPUE,trawl,,,1994,2011,18,"Southern Adriatic Sea (Geographical sub-area 18), Mediterranean Sea"
species_857,sCPUE,trawl,,,1994,2010,17,"Western Ionian Sea (Geographical sub-area 19), Mediterranean Sea"
species_859,sCPUE,trawl,,,2000,2019,14,Rockall Trough continental slope
species_882,biomass,trawl,,,1986,1999,13,South_Africa_west
species_882,biomass,trawl,,,1986,1999,11,South_Africa_south
species_903,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_903,standardized_abundance,trawl,,,1994,2015,22,"Northern Alboran Sea, Mediterranean Sea"
species_903,standardized_abundance,trawl,,,1994,2015,22,"Northern Spain, Mediterranean Sea"
species_903,standardized_abundance,trawl,,,2001,2015,15,Balearic Islands
species_903,standardized_biomass,trawl,,,1994,2015,22,"Northern Alboran Sea, Mediterranean Sea"
species_903,standardized_biomass,trawl,,,1994,2015,22,"Northern Spain, Mediterranean Sea"
species_903,standardized_biomass,trawl,,,2001,2015,15,Balearic Islands
species_903,sCPUE,trawl,,,1993,2018,26,Irish Sea and Bristol Channel
species_903,sCPUE,trawl,,,1993,2018,26,Irish Sea and Bristol Channel
species_903,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_903,sCPUE,trawl,,,2006,2018,13,Western English Channel
species_903,sCPUE,trawl,,,2006,2018,13,Western English Channel
species_903,sCPUE,trawl,,,1994,2011,18,"Ligurian Sea and Northern Tyrrhenian Sea (Geographical sub-area 9), Mediterranean Sea"
species_903,sCPUE,trawl,,,1994,2011,18,"South and Central Tyrrhenian Sea (Geographical sub-area 10), Mediterranean Sea"
species_903,sCPUE,trawl,,,1994,2010,17,"Sardinia (Geographical sub-area 11), Mediterranean Sea"
species_903,sCPUE,trawl,,,1994,2010,16,"Southern Sicily (Geographical sub-area 16), Mediterranean Sea"
species_903,sCPUE,trawl,,,1994,2010,17,"Northern Adriatic Sea (Geographical sub-area 17), Mediterranean Sea"
species_903,sCPUE,trawl,,,1994,2011,18,"Southern Adriatic Sea (Geographical sub-area 18), Mediterranean Sea"
species_903,sCPUE,trawl,,,1994,2010,17,"Western Ionian Sea (Geographical sub-area 19), Mediterranean Sea"
species_912,sCPUE,trawl,,,1993,2018,26,Irish Sea and Bristol Channel
species_912,sCPUE,trawl,,,1993,2018,26,Irish Sea and Bristol Channel
species_912,sCPUE,trawl,,,2006,2018,12,Western English Channel
species_912,sCPUE,trawl,,,2006,2018,12,Western English Channel
species_924,standardized_biomass,multiple,,,1975,1997,23,Southwest Australia
species_924,sCPUE,"longline, gillnet",,,1976,2005,30,Southwest Australia
species_924,sCPUE,"longline, gillnet",,,2006,2015,10,Southwest Australia
species_937,nCPUE,gillnet,,,1973,1997,25,Bass_Strait
species_937,sCPUE,"longline, gillnet",,,1977,2005,29,Southwest Australia
species_937,sCPUE,"longline, gillnet",,,2006,2014,9,Southwest Australia
species_937,standardized_abundance,multiple,,,1927,2015,89,Bass Strait
species_937,standardized_abundance,multiple,,,1927,2015,89,South Australia
species_937,standardized_abundance,multiple,,,1927,2015,89,Tasmania
species_937,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_937,sCPUE,trawl,,,1994,2006,13,Southeast Australia - Eastern region
species_937,standardized_biomass,"longline, gillnet",,,1930,2000,71,Bass_Strait
species_937,standardized_biomass,"longline, gillnet",,,1930,2000,71,South Australia
species_938,sCPUE,trawl,,,1993,2018,26,Irish Sea and Bristol Channel
species_938,sCPUE,trawl,,,1993,2018,26,Irish Sea and Bristol Channel
species_940,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_940,nCPUE,longline,,,2011,2018,8,Gulf of Mexico
species_940,sCPUE,trawl,,,1972,2013,42,NOAA-NEFSC (USA)
species_940,standardized_biomass,multiple,,,1981,2012,32,Northwest Atlantic
species_925,nCPUE,gillnet,,,1973,1997,25,Bass_Strait
species_925,standardized_abundance,longline,,,1990,2013,19,"Azores archipelago, EEZ"
species_925,sCPUE,trawl,,,1997,2016,20,Southern Celtic Sea/Bay of Biscay
species_925,sCPUE,longline,,,1990,2016,27,Azores
species_925,sCPUE,trawl,,,2005,2018,14,Northern Celtic Sea
species_925,sCPUE,longline,,,1990,2016,27,"New-Zealand, Far North & SCH 1E (N/1E)"
species_925,sCPUE,gillnet,,,1990,2016,27,"New-Zealand, Far North & SCH 1E (N/1E)"
species_925,sCPUE,longline,,,1990,2016,27,"New-Zealand, SCH 2 & top of SCH 3 (2/3N)"
species_925,sCPUE,gillnet,,,1990,2016,27,"New-Zealand, SCH 2 & top of SCH 3 (2/3N)"
species_925,sCPUE,longline,,,2004,2016,13,"New-Zealand, Chatham Rise (SCH 4)"
species_925,sCPUE,longline,,,1990,2016,27,"New-Zealand, lower SCH 3 & SCH 5 (3S/5)"
species_925,sCPUE,gillnet,,,1990,2016,27,"New-Zealand, lower SCH 3 & SCH 5 (3S/5)"
species_925,sCPUE,longline,,,1990,2016,27,"New-Zealand, SCH 7, SCH 8 & lower SCH 1W (7/8/1W)"
species_925,sCPUE,gillnet,,,1990,2016,27,"New-Zealand, SCH 7, SCH 8 & lower SCH 1W (7/8/1W)"
species_925,nCPUE,trawl,,,1992,2015,24,South Argentina coast
species_925,nCPUE,trawl,,,1992,2015,24,South Argentina coast
species_925,standardized_biomass,multiple,,,1927,2000,74,South Australia
species_925,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_925,sCPUE,trawl,,,1994,2006,13,Southeast Australia - Eastern region
species_925,sCPUE,trawl,,,1994,2006,13,Southeast Australia - Eastern region
species_925,sCPUE,trawl,,,1994,2006,13,Southeast Australia - Eastern region
species_925,nCPUE,longline,,,1995,2014,20,Western and Central Pacific
species_918,abundance,bather_protection_net,,,1996,2006,11,"Queensland east coastline, Australia"
species_918,sCPUE,bather_protection_net,,,1978,2003,26,Kwazulu-Natal coast South-Africa
species_918,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_918,standardized_abundance,multiple,,,1981,2004,24,Northwest Atlantic
species_918,standardized_abundance,multiple,,,1981,2005,25,West Atlantic
species_918,standardized_abundance,multiple,,,1981,2005,25,West Atlantic
species_918,sCPUE,longline,,,2002,2017,14,northwestern Australia
species_918,nCPUE,longline,,,1995,2017,22,"USA northwest Atlantic, Gulf of Mexico, Bahamas"
species_918,sCPUE,longline,,,1994,2017,24,"USA northwest Atlantic, Gulf of Mexico, Bahamas"
species_921,standardized_abundance,longline,,,2007,2014,8,Georgia Red Drum Longline Survey (GA LL)
species_921,standardized_abundance,gillnet,,,1996,2014,19,Gulf of Mexico Shark Pupping and Nursery Area Gillnet Survey (GULFSPAN GN)
species_921,standardized_abundance,longline,,,2007,2014,8,South Carolina Coastal Longline Survey (SC LL)
species_921,standardized_abundance,trawl,,,1989,2014,26,SouthEast Area Monitoring and Assessment Program-South Atlantic Coastal Trawl Survey (SEAMAP-SA Trawl)
species_921,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_921,standardized_abundance,multiple,,,1950,2011,62,Northwest Atlantic and North Gulf of Mexico
species_921,nCPUE,trawl,,,1987,2008,22,North Gulf of Mexico (USA)
species_921,nCPUE,trawl,,,2009,2018,10,North Gulf of Mexico (USA)
species_923,sCPUE,bather_protection_net,,,1978,2003,26,Kwazulu-Natal coast South-Africa
species_923,nCPUE,bather_protection_net,,,1950,2009,60,New South Wales coast Australia
species_923,standardized_abundance,multiple,,,1981,2005,25,West Atlantic
species_923,standardized_abundance,multiple,,,1981,2005,25,West Atlantic
species_923,nCPUE,"gillnet,line",,,1978,2014,37,Kwazulu-Natal coast South-Africa
species_923,sCPUE,longline,,,1992,2017,26,"USA northwest Atlantic, Gulf of Mexico, Bahamas"
species_953,sCPUE,trawl,,,1994,2010,17,"Northern Adriatic Sea (Geographical sub-area 17), Mediterranean Sea"
species_953,sCPUE,trawl,,,1994,2010,17,"Western Ionian Sea (Geographical sub-area 19), Mediterranean Sea"
species_953,standardized_biomass,trawl,,,1990,2016,27,south coast of South Africa
species_953,standardized_biomass,multiple,,,1990,2010,21,Mauritania
species_953,standardized_abundance,trawl,,,1982,2015,32,Mauritania
species_958,sCPUE,trawl,,,1992,2007,16,Argentina coast
species_975,nCPUE,bather_protection_net,,,1950,2009,60,New South Wales coast Australia
species_975,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_975,sCPUE,"trawl, seine",,,2000,2006,7,Great Australian Bight
species_975,sCPUE,trawl,,,1994,2006,13,Southeast Australia - Eastern region
species_990,sCPUE,bather_protection_net,,,1978,2003,26,Kwazulu-Natal coast South-Africa
species_990,nCPUE,bather_protection_net,,,1950,2009,60,New South Wales coast Australia
species_990,sCPUE,longline,,,1975,2020,46,Delaware Bay (USA)
species_990,sCPUE,longline,,,1990,2020,31,Chesapeake Bay and coastal Virginia waters
species_990,sCPUE,longline,,,1975,2020,46,southeast USA and Gulf of Mexico
species_993,nCPUE,longline,,,1995,2015,21,Western and Central Pacific
species_980,nCPUE,longline,,,1966,1986,13,Western Indian Ocean
species_980,sCPUE,longline,,,1995,2014,20,Central northern Pacific
species_980,sCPUE,longline,,,1995,2014,20,Hawaii
species_980,sCPUE,longline,,,1992,2013,22,West Atlantic
species_981,standardized_biomass,multiple,,,1969,2014,46,Eastern North Pacific
species_981,nCPUE,gillnet,,,1981,2013,33,California
species_981,sCPUE,longline,,,1992,2013,22,West Atlantic
species_983,nCPUE,bather_protection_net,,,1963,2017,55,"Queensland east coastline, Australia"
species_983,nCPUE,drumline,,,1963,2017,55,"Queensland east coastline, Australia"
species_983,sCPUE,bather_protection_net,,,1978,2003,26,Kwazulu-Natal coast South-Africa
species_983,nCPUE,bather_protection_net,,,1950,2009,60,New South Wales coast Australia
species_983,abundance,longline,,,1987,2000,14,West Atlantic
species_983,sCPUE,longline,,,1961,2009,11,Northeast USA
species_983,standardized_abundance,"longline, line",,,1961,2010,50,Northwest Atlantic
species_983,standardized_abundance,sighting,,,1961,2008,48,Northwest Atlantic
species_983,nCPUE,gillnet,,,1980,2010,31,south west coast of California
species_983,sCPUE,longline,,,1995,2010,9,Northeast USA
species_983,sCPUE,line,,,1965,1992,20,"New York, New Jersey"
species_984,sCPUE,longline,,,1992,2005,14,West Atlantic
species_984,sCPUE,bather_protection_net,,,1978,2003,26,Kwazulu-Natal coast South-Africa
species_984,sCPUE,longline,,,1996,2010,15,North Pacific
species_984,sCPUE,longline,,,1996,2010,15,South Pacific
species_984,sCPUE,longline,,,1986,2005,20,West Atlantic
species_984,sCPUE,longline,,,1992,2005,14,West Atlantic
species_984,sCPUE,longline,,,1986,2005,20,Gulf of Mexico
species_984,sCPUE,longline,,,1992,2003,12,Northwest Atlantic
species_984,sCPUE,longline,,,1986,2003,18,Northwest Atlantic
species_984,standardized_biomass,multiple,,,1971,2015,45,Indian Ocean
species_984,sCPUE,longline,,,1999,2015,17,Atlantic
species_984,sCPUE,longline,,,1995,2013,19,New-Zealand EEZ
species_984,standardized_biomass,multiple,,,1950,2017,68,North Atlantic
species_984,standardized_abundance,multiple,,,1951,2018,68,Atlantic
species_984,standardized_abundance,multiple,,,1975,2016,42,North Pacific
species_984,sCPUE,longline,,,1981,2006,26,South Atlantic
species_984,sCPUE,longline,,,1981,2006,26,North Atlantic
species_984,sCPUE,longline,,,2000,2005,6,South-Africa EEZ and close high seas
species_984,nCPUE,line,,,1981,2002,22,northeast USA
species_984,nCPUE,line,,,1981,2002,22,northeast USA
species_984,nCPUE,line,,,1991,2002,12,"Cape_Cod, northeast USA"
species_985,sCPUE,longline,,,1992,2015,24,"USA northwest Atlantic, Gulf of Mexico, Bahamas"
species_987,sCPUE,longline,,,1995,2013,19,New-Zealand EEZ
species_987,sCPUE,longline,,,1996,2011,16,South Pacific
species_987,standardized_abundance,multiple,,,1961,2009,49,Northwest Atlantic
species_987,nCPUE,longline,,,1992,1999,8,West Atlantic
species_987,sCPUE,multiple,,,1962,2015,54,"South Atlantic, South Pacific and Indian Ocean"
species_987,standardized_biomass,multiple,,,1926,2009,84,Northeast Atlantic
species_987,standardized_biomass,multiple,,,1961,2009,49,Northwest Atlantic
species_996,standardized_abundance,longline,,,2004,2015,12,"Bimini islands, Bahamas"
species_996,biomass,landings,,,2000,2014,15,Mexican coastal waters (Atlantic)
species_996,sCPUE,longline,,,1995,2018,23,North Carolina to Brownsville (USA)
species_996,sSPUE,sighting,,,2009,2018,8,"Bélize, Glovers Reef and Southwater Cay"
species_1038,nCPUE,longline,,,2014,2018,5,"Tanjung Luar, Indonesia"
species_1039,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_1039,sCPUE,trawl,,,1983,2018,35,"Galician and Cantabrian shelf, Spain coast"
species_1039,nSPUE,sighting,,,2001,2007,7,strait_of_georgia
species_1039,nCPUE,longline,,,2015,2018,4,"Tanjung Luar, Indonesia"
species_1039,sCPUE,trawl,,,1974,1983,7,"Baltic, North Sea, North Atlantic"
species_1039,sCPUE,trawl,,,1998,2019,15,Rockall Trough continental slope
species_1040,nCPUE,longline,,,2014,2018,5,"Tanjung Luar, Indonesia"
species_1042,nCPUE,bather_protection_net,,,1950,2009,60,New South Wales coast Australia
species_1044,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_1044,sCPUE,trawl,,,1994,2006,13,Southeast Australia - Eastern region
species_1044,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_1044,sCPUE,trawl,,,2000,2006,7,Southeast Australia - Eastern region
species_1051,nCPUE,longline,,,2011,2018,8,Gulf of Mexico
species_1057,biomass,trawl,,,1991,2009,13,South New Zealand
species_1057,sCPUE,trawl,,,1974,1983,7,"Baltic, North Sea, North Atlantic"
species_1057,sCPUE,trawl,,,1998,2019,15,Rockall Trough continental slope
species_1057,biomass,trawl,,,1991,2014,16,South New Zealand EEZ
species_1057,biomass,trawl,,,1992,2014,23,New Zealand  - Chatham Rise
species_1057,biomass,trawl,,,1992,2010,19,New Zealand  - Chatham Rise
species_1061,standardized_abundance,longline,,,1995,2018,19,"Azores archipelago, EEZ"
species_1061,sCPUE,trawl,,,2012,2018,7,Porcupine Bank
species_1061,sCPUE,trawl,,,2012,2018,7,Porcupine Bank
species_1061,biomass,trawl,,,1991,2009,13,South New Zealand
species_1061,sCPUE,trawl,,,1998,2019,15,Rockall Trough continental slope
species_1061,biomass,trawl,,,1991,2014,16,South New Zealand EEZ
species_1061,biomass,trawl,,,1991,2018,26,New Zealand  - Chatham Rise
species_1061,biomass,trawl,,,1992,2010,19,New Zealand  - Chatham Rise
species_1061,sCPUE,trawl,,,2000,2006,7,Southeast Australia - Eastern region
species_1061,sCPUE,trawl,,,1996,2006,11,Southeast Australia - Western region
species_1063,standardized_abundance,longline,,,1995,2018,19,"Azores archipelago, EEZ"
species_1063,sCPUE,trawl,,,2012,2018,7,Porcupine Bank
species_1063,sCPUE,trawl,,,2012,2018,7,Porcupine Bank
species_1065,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_1065,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_1065,sCPUE,trawl,,,1998,2019,15,Rockall Trough continental slope
species_1065,sCPUE,trawl,,,1972,2004,21,Tuscan archipelago and north_tyrrhenian
species_1065,biomass,trawl,,,1991,2014,16,South New Zealand EEZ
species_1065,biomass,trawl,,,1992,2014,23,New Zealand  - Chatham Rise
species_1065,sCPUE,trawl,,,1994,2006,13,Southeast Australia
species_1065,sCPUE,trawl,,,2000,2006,7,Southeast Australia - Eastern region
species_1065,standardized_biomass,multiple,,,1972,2001,30,Azores
species_1069,nCPUE,longline,,,1995,2015,21,Western and Central Pacific
species_1075,biomass,trawl,,,2008,2018,6,Kerala
species_1079,standardized_abundance,trawl,,,1977,1994,18,"2J3K, Newfoundland and Labrador Shelves (Canada)"
species_1079,standardized_abundance,trawl,,,1995,2017,23,"2J3K, Newfoundland and Labrador Shelves (Canada)"
species_1079,standardized_abundance,trawl,,,1996,2018,23,"3LNOPs, Grand Banks (Canada)"
species_1079,sCPUE,trawl,,,2000,2019,14,Rockall Trough continental slope
species_1098,biomass,trawl,,,1991,2014,16,South New Zealand EEZ
species_1098,biomass,trawl,,,1992,2018,25,New Zealand  - Chatham Rise
species_1106,sCPUE,trawl,,,1998,2019,15,Rockall Trough continental slope
species_1108,sCPUE,trawl,,,1997,2016,19,Portugal southwest and south
species_1108,standardized_abundance,longline,,,1995,2018,19,"Azores archipelago, EEZ"
species_1116,sCPUE,trawl,,,1997,2016,19,Portugal southwest and south
species_1116,standardized_abundance,trawl,,,1994,2015,22,"Northern Alboran Sea, Mediterranean Sea"
species_1116,standardized_abundance,trawl,,,1994,2015,22,"Northern Spain, Mediterranean Sea"
species_1116,standardized_abundance,trawl,,,2001,2015,15,Balearic Islands
species_1116,standardized_biomass,trawl,,,1994,2015,22,"Northern Alboran Sea, Mediterranean Sea"
species_1116,standardized_biomass,trawl,,,1994,2015,22,"Northern Spain, Mediterranean Sea"
species_1116,standardized_biomass,trawl,,,2001,2015,15,"Balearic Islands, Mediterranean Sea"
species_1116,standardized_abundance,longline,,,1995,2018,20,"Azores archipelago, EEZ"
species_1116,sCPUE,trawl,,,1983,2018,35,"Galician and Cantabrian shelf, Spain coast"
species_1116,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_1116,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_1116,sCPUE,trawl,,,1998,2019,15,Rockall Trough continental slope
species_1116,sCPUE,trawl,,,1972,2004,21,Tuscan archipelago and north_tyrrhenian
species_1116,sCPUE,trawl,,,1994,2011,18,"Ligurian Sea and Northern Tyrrhenian Sea (Geographical sub-area 9), Mediterranean Sea"
species_1116,sCPUE,trawl,,,1994,2011,18,"South and Central Tyrrhenian Sea (Geographical sub-area 10), Mediterranean Sea"
species_1116,sCPUE,trawl,,,1994,2010,17,"Sardinia (Geographical sub-area 11), Mediterranean Sea"
species_1116,sCPUE,trawl,,,1994,2010,16,"Southern Sicily (Geographical sub-area 16), Mediterranean Sea"
species_1116,sCPUE,trawl,,,1994,2011,18,"Southern Adriatic Sea (Geographical sub-area 18), Mediterranean Sea"
species_1116,sCPUE,trawl,,,1994,2010,17,"Western Ionian Sea (Geographical sub-area 19), Mediterranean Sea"
species_1121,nCPUE,trawl,,,2002,2013,11,"Brownsville, TX to the Florida Keys, FL (USA)"
species_1125,sCPUE,trawl,,,1972,2004,21,Tuscan archipelago and north_tyrrhenian
species_1128,sCPUE,trawl,,,1974,1983,7,"Baltic, North Sea, North Atlantic"
species_1128,standardized_abundance,trawl,,,1992,2013,22,"Labrador Shelf, Canada"
species_1128,sCPUE,trawl,,,1998,2019,15,Rockall Trough continental slope
species_1129,sCPUE,trawl,,,1996,2006,11,Southeast Australia - Eastern region
species_1129,sCPUE,trawl,,,2000,2006,7,Southeast Australia - Eastern region
species_1129,nCPUE,longline,,,1995,2014,20,Western and Central Pacific
species_1130,biomass,trawl,,,1991,2009,13,South New Zealand
species_1130,sCPUE,trawl,,,1974,1983,7,"Baltic, North Sea, North Atlantic"
species_1130,sCPUE,trawl,,,2000,2019,14,Rockall Trough continental slope
species_1130,biomass,trawl,,,1991,2014,16,South New Zealand EEZ
species_1130,biomass,trawl,,,1992,2018,25,New Zealand  - Chatham Rise
species_1130,biomass,trawl,,,1992,2010,19,New Zealand  - Chatham Rise
