openalex_author_id,display_name,institution,country,papers,gender,origin_country,origin_region,ethnicity,inst_city,inst_region,inst_lat,inst_lon
A5008140530,Dení Ramírez‐Macías,Pioneer (United States),US,17,F,ES,Europe,Hispanic,Long Beach,California,33.84015274047852,-118.2354507446289
A5025880572,Christopher G. Mull,Simon Fraser University,CA,17,M,GB,Europe,Irish,Burnaby,British Columbia,49.26636,-122.95263
A5085069103,Erich Ritter,University of West Florida,US,17,M,DE,Europe,German,Pensacola,NA,30.421310424804688,-87.21691131591797
A5001492899,Douglas J. McCauley,"University of California, Santa Barbara",US,21,M,IE,Europe,Irish,Santa Barbara,California,34.42083,-119.69819
A5108673424,Michael J. Everhart,Fort Hays State University,US,17,M,GB,Europe,British,Hays,Kansas,38.87918,-99.32677
A5041032807,Federico Páez‐Osuna,Universidad Nacional Autónoma de México,MX,16,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5081035197,Dovi Kacev,University of California San Diego,US,16,M,IL,Asia,Jewish,San Diego,California,32.71571,-117.16472
A5025496316,Leonardo Manir Feitosa,"University of California, Santa Barbara",US,16,M,PT,Europe,Portuguese,Santa Barbara,California,34.42083,-119.69819
A5109034177,Kenneth J. Goldman,Alaska Department of Fish and Game,US,19,M,GB,Europe,Jewish,Juneau,Alaska,58.29951858520508,-134.42434692382812
A5047356822,John P. Tyminski,FamilySearch,US,18,M,PL,Europe,Polish,Salt Lake City,Utah,40.77019119262695,-111.89452362060548
A5048826461,Yassir Edén Torres‐Rojas,Autonomous University of Campeche,MX,15,M,MA,Africa,Hispanic,Campeche,NA,19.828277587890625,-90.55657958984376
A5075568740,Ivy E. Baremore,Honduras Foundation for Agricultural Research,HN,15,F,IE,Europe,British,San Pedro Sula,NA,15.506987571716309,-88.00231170654297
A5088312740,Nerea Lezama‐Ochoa,"University of California, Santa Cruz",US,15,F,ES,Europe,Hispanic,Santa Cruz,NA,36.97412109375,-122.03079986572266
A5102809458,Julia K. Baum,University of Victoria,CA,15,F,AT,Europe,Jewish,Victoria,British Columbia,48.4359,-123.35155
A5076386316,Aaron J. Wirsing,University of Washington,US,19,M,NL,Europe,German,Seattle,Washington,47.60621,-122.33207
A5043573364,Andrew T. Fields,Texas A&M University – Corpus Christi,US,17,M,GB,Europe,British,Corpus Christi,NA,27.80057907104492,-97.39637756347656
A5013621726,Arturo Tripp-Valdéz,Instituto Politécnico Nacional,MX,15,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5031110017,Fiorenza Micheli,Pacific University,US,15,F,IT,Europe,Italian,Forest Grove,NA,45.51984024047852,-123.11065673828124
A5066239927,Jill A. Olin,Michigan Technological University,US,15,F,SE,Europe,Swedish,Houghton,NA,47.12186813354492,-88.56900787353516
A5067636916,Robert M. Dores,University of Denver,US,15,M,IE,Europe,Portuguese,Denver,NA,39.73915100097656,-104.98470306396484
A5034143474,Nicole M. Phillips,University of Southern Mississippi,US,17,F,GB,Europe,TrinidadTobago,Hattiesburg,NA,31.327119827270508,-89.29033660888672
A5081227066,Dayv Lowry,Washington Department of Fish and Wildlife,US,15,M,IE,Europe,Irish,Olympia,NA,47.03786849975586,-122.90070343017578
A5001528490,Rándall Arauz,Bay Institute,US,15,M,ES,Europe,HispanoLatino,San Francisco,California,37.80623626708984,-122.41191864013672
A5055025020,Faviel A. López‐Romero,Universidad Nacional Autónoma de México,MX,14,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5079542269,David P. Robinson,Bay Institute,US,16,M,GB,Europe,British,San Francisco,California,37.80623626708984,-122.41191864013672
A5086753224,Simon Dedman,Florida International University,US,14,M,GB,Europe,British,San Carlos,California,37.5072,-122.2605
A5060216580,André E. Punt,University of Washington,US,14,M,NL,Europe,Dutch,Seattle,Washington,47.60621,-122.33207
A5004439475,Natalie D. Mylniczenko,Walt Disney (United States),US,14,F,UA,Europe,Ukrainian,Burbank,California,34.18084,-118.30897
A5013280852,Elliott L. Hazen,NOAA National Marine Fisheries Service Southwest Fisheries Science Center,US,14,M,IE,Europe,Dutch,La Jolla,NA,32.84727096557617,-117.27420043945312
A5032868553,Daniel P. Cartamil,University of California San Diego,US,14,M,IE,Europe,HispanoLatino,San Diego,California,32.71571,-117.16472
A5064266968,W. Gary Anderson,University of Manitoba,CA,14,M,GB,Europe,Scottish,Winnipeg,Manitoba,49.8844,-97.14704
