from,to,weight
A5000190168,A5047975781,3
A5000190168,A5048209445,2
A5000190168,A5048816626,1
A5000190168,A5049735088,3
A5000190168,A5051333159,3
A5000190168,A5052508555,3
A5000190168,A5052570808,3
A5000190168,A5052896901,3
A5000190168,A5054437766,2
A5000190168,A5054917997,1
A5000190168,A5056604056,3
A5000190168,A5058518471,1
A5000190168,A5058867480,3
A5000190168,A5059782311,3
A5000190168,A5059851466,1
A5000190168,A5059952758,2
A5000190168,A5060608240,3
A5000190168,A5061247829,3
A5000190168,A5061712390,3
A5000190168,A5061801420,3
A5000190168,A5062122821,3
A5000190168,A5063064508,1
A5000190168,A5063302392,2
A5000190168,A5066006168,2
A5000190168,A5066151994,2
A5000190168,A5066900872,3
A5000190168,A5069461087,1
A5000190168,A5069909768,2
A5000190168,A5070915891,3
A5000190168,A5073694772,2
A5000190168,A5074377081,2
A5000190168,A5075242622,3
A5000190168,A5076070556,3
A5000190168,A5076923485,3
A5000190168,A5077893350,2
A5000190168,A5078965739,2
A5000190168,A5079902325,3
A5000190168,A5081672511,2
A5000190168,A5082890259,3
A5000190168,A5084234375,2
A5000190168,A5084312125,1
A5000190168,A5084952958,3
A5000190168,A5085933467,2
A5000190168,A5086310297,2
A5000190168,A5086586908,1
A5000190168,A5086603611,3
A5000190168,A5086763067,3
A5000190168,A5086976250,3
A5000190168,A5087011078,3
A5000190168,A5087496171,2
A5000190168,A5087886468,3
A5000190168,A5088387847,3
A5000190168,A5088630522,1
A5000190168,A5088827087,2
A5000190168,A5089917331,2
A5000190168,A5090335051,1
A5000190168,A5090751584,2
A5000190168,A5091797033,1
A5000190168,A5092175376,2
A5000190168,A5113677716,1
A5000259207,A5005340155,1
A5000259207,A5008894607,1
A5000259207,A5011629984,2
A5000259207,A5014243041,6
A5000259207,A5014389821,1
A5000259207,A5019677255,1
A5000259207,A5019748725,3
A5000259207,A5022098307,1
A5000259207,A5032531591,1
A5000259207,A5032674634,10
A5000259207,A5032937055,5
A5000259207,A5033760828,6
A5000259207,A5036585334,1
A5000259207,A5037242027,3
A5000259207,A5039941730,2
A5000259207,A5039942631,1
A5000259207,A5049497744,1
A5000259207,A5051333159,1
A5000259207,A5052268355,1
A5000259207,A5060487414,1
A5000259207,A5063175607,2
A5000259207,A5065160325,1
A5000259207,A5068422078,7
A5000259207,A5078678471,1
A5000259207,A5080921997,1
A5000259207,A5090399760,1
A5000264336,A5023751725,1
A5000264336,A5041084169,1
A5000264336,A5043982552,1
A5000264336,A5071024998,2
A5000264336,A5074994629,1
A5000264336,A5077016842,1
A5000264336,A5078993478,1
A5000264336,A5089137328,1
A5000275661,A5000491743,2
A5000275661,A5001141633,9
A5000275661,A5002558841,1
A5000275661,A5003081490,1
A5000275661,A5003180048,1
A5000275661,A5003477307,3
A5000275661,A5005258440,1
A5000275661,A5005752874,1
A5000275661,A5006096636,2
A5000275661,A5006117162,1
A5000275661,A5006467789,1
A5000275661,A5006531303,1
A5000275661,A5006832801,4
A5000275661,A5007075890,1
A5000275661,A5009822458,2
A5000275661,A5010017732,1
A5000275661,A5011242216,1
A5000275661,A5011459721,1
A5000275661,A5012003756,1
A5000275661,A5012805265,1
A5000275661,A5013204942,6
A5000275661,A5013358578,1
A5000275661,A5015200301,1
A5000275661,A5015353218,1
A5000275661,A5015536681,1
A5000275661,A5015558286,1
A5000275661,A5018771032,1
A5000275661,A5018856658,1
A5000275661,A5018857271,1
A5000275661,A5018859861,1
A5000275661,A5019677255,1
A5000275661,A5023751725,1
A5000275661,A5023886185,1
A5000275661,A5024466635,3
A5000275661,A5025187446,1
A5000275661,A5025808128,1
A5000275661,A5026655156,3
A5000275661,A5028489146,1
A5000275661,A5028587700,1
A5000275661,A5029831812,1
A5000275661,A5029873576,1
A5000275661,A5030210254,1
A5000275661,A5030584469,1
A5000275661,A5031388639,1
A5000275661,A5032868553,2
A5000275661,A5034016556,1
A5000275661,A5034115460,1
A5000275661,A5034349274,1
A5000275661,A5034910630,12
A5000275661,A5035810829,1
A5000275661,A5036209141,1
A5000275661,A5036953773,1
A5000275661,A5037886219,2
A5000275661,A5038873010,1
A5000275661,A5039207374,1
A5000275661,A5041789762,1
A5000275661,A5042336328,3
A5000275661,A5043849609,1
A5000275661,A5044127816,5
A5000275661,A5044563276,1
A5000275661,A5045150307,1
A5000275661,A5045408715,1
A5000275661,A5045608737,1
A5000275661,A5045897972,2
A5000275661,A5046743964,1
A5000275661,A5047066098,1
A5000275661,A5047187906,1
A5000275661,A5048459624,1
A5000275661,A5049062772,1
A5000275661,A5049153998,1
A5000275661,A5049569296,1
A5000275661,A5050624434,1
A5000275661,A5053170814,1
